Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec	cluster	Gender	Age	Poekülastuse eesmärk/põhjus	Number of planned purchases	Any unplanned purchase	Did notice the screens	If noticed, what do you remember about the screen ad	Did any ad affect purchases?	Type of checkout	Why you chose remote control / cash register / self-service	Calibration	Mood rating	Fatigue rating
22tina	262.9430052	1158	501968	501.968	16.73226667	172.1225257	25.0984	46.13839926	50.1968	23.06919963	100.3936	11.53459982	2	Naine	22	võileiva ost	7	ei	Ei		ei		ei ostnud midagi	Väga hea	1	3
Alan32	256.3112813	1436	612210	612.21	20.407	180.2322732	30.6105	46.91200732	61.221	23.45600366	122.442	11.72800183	2	Mees	32	õhtusöögiks asju ostma	8	ei	Ei		jah, hind	Tava	kuna ei oska eesti keelt, on kaalutavaid kaupu parem läbi lüüa	Halb	2	3
ALAN 37	243.234104	1038	363575	363.575	12.11916667	174.8470054	18.17875	57.09963556	36.3575	28.54981778	72.715	14.27490889	0	Mees	37	mahl ja kohv ja võib-olla midagi veel	9	oli	Ei		ei	Tava	hetkel oli järjekord lühike	Väga hea	4	2
Aleks46	274.9761905	336	145901	145.901	4.863366667	166.9625294	7.29505	46.0586288	14.5901	23.0293144	29.1802	11.5146572	0	Mees	46	pasrakat	9	ei	Ei		ei	Tava	pole järjekorda	Väga hea	2	1
alexa44	291.7751678	1192	484885	484.885	16.16283333	117.4917764	24.24425	49.16629716	48.4885	24.58314858	96.977	12.29157429	2	Naine	44	süüa	2	vesi	Ei		ei	Tava	harjunud ise panna asju, meeldib suhtlus	Väga hea	5	1
Allan 24	283.7857143	560	231297	231.297	7.7099	131.0004021	11.56485	48.42259087	23.1297	24.21129543	46.2594	12.10564772	0	Mees	24	kassiliiv	7	jah, juust	Ei		ei olnud	Pult	kaardiga saab ruttu ära teha	Väga hea	3	3
alma37	223.9312602	611	322875	322.875	10.7625	107.1312427	16.14375	37.84746419	32.2875	18.92373209	64.575	9.461866047	0	Naine	37	suhkur ja või 	8	ei	Ei		ei	Tava	ei meeldi, halb kogemus	Halb	5	1
Alo 26	319.1292719	1346	630752	630.752	21.02506667	131.6048146	31.5376	42.67921465	63.0752	21.33960733	126.1504	10.66980366	2	Mees	26	süüa osta	4	kõik oli planeerimata, väljaarvatud vein	Ei		allahindlus	Pult	kiirem, saab tulistada hindu sisse	Väga hea	4	3
AndrA20	120	64	78830	78.83	2.627666667	394.6467081	3.9415	16.23747304	7.883	8.118736522	15.766	4.059368261	0	Mees	39	toit	10	ei	Jah	ei mäleta	kui oleks vaja seda toodet, siis mõjutaks	Iseteenindus	järjekord	Väga hea	4	3
andre 16	253.296875	192	174751	174.751	5.825033333	225.2347626	8.73755	21.97412318	17.4751	10.98706159	34.9502	5.493530795	0	Mees	16	klassile kommi osta	2	ei	Ei		ei	Iseteenindus	kiirem	Halb	4	1
andre 28	232.5462185	1071	489861	489.861	16.3287	122.1162738	24.49305	43.72668982	48.9861	21.86334491	97.9722	10.93167245	2	Mees	28	karastusjook	10	tuli meelde, et on veel asju vaja	Ei		otseselt mitte	Iseteenindus	kiire, mugav, probleemideta	Väga hea	3	2
andre42	237.2173684	1900	830548	830.548	27.68493333	139.2092931	41.5274	45.75292458	83.0548	22.87646229	166.1096	11.43823114	2	Mees	42	süüa osta	7	paartükki	Ei		ei	Tava	meeldib 	Halb	4	4
andre44	229.7372061	723	304228	304.228	10.14093333	139.237677	15.2114	47.53014187	30.4228	23.76507093	60.8456	11.88253547	0	Mees	44	süüa	8	ei	Ei		ei	Tava	halvad kogemused teiste asjadega	Halb	5	1
ANDRUS 25	253.116129	620	262723	262.723	8.757433333	129.94675	13.13615	47.19799941	26.2723	23.59899971	52.5446	11.79949985	0	Mees	18	midagi mis kõhtu täidaks	6	ei olnud	Ei		ei vaata reklaame	Iseteenindus	kasutab mündid ära	Väga hea	5	3
anito39	220.1557847	873	321351	321.351	10.7117	193.7134162	16.06755	54.33311239	32.1351	27.1665562	64.2702	13.5832781	0	Mees	39	sai ja cocacola	8	jäätis	Jah	ei	ei	Pult	harjumus	Halb	5	1
anna12	270.2031524	571	278172	278.172	9.2724	138.7990164	13.9086	41.05373654	27.8172	20.52686827	55.6344	10.26343413	0	Naine	12	süüa	3	jh	Ei		ei	Iseteenindus	sõbrad läksid ka sinna	Väga hea	5	4
anneli28	293.8073939	2191	1151780	1151.78	38.39266667	123.9559638	57.589	38.04546007	115.178	19.02273004	230.356	9.511365018	1	Naine	28	süüa	1	kõik	Ei		ei	Pult	kiirem	Väga hea	5	2
anni30	268.877338	2299	864356	864.356	28.81186667	139.4911356	43.2178	53.195674	86.4356	26.597837	172.8712	13.2989185	2	Naine	30	süüa	5	jh	Ei		ei	Tava	kõndis pultidest mõõda ja siis oli liiga palju kaupa et iseteenindusse minna	Väga hea	4	3
anti36	345.6362126	1204	635561	635.561	21.18536667	84.82269995	31.77805	37.88778732	63.5561	18.94389366	127.1122	9.471946831	2	Mees	36	lõunat	7	ei	Ei		kollased hinnad	Pult	kiirem	Hea	5	1
arvi70	331.5641234	1232	587089	587.089	19.56963333	147.9332776	29.35445	41.96978652	58.7089	20.98489326	117.4178	10.49244663	2	Mees	70	süüa	8	ei	Ei		ei	Tava	ta ei ole nii pädev iseteeninduses, kiiremini läheb tavakassas	Hea	5	4
arvo60	343.7065593	869	400432	400.432	13.34773333	87.80517042	20.0216	43.40312463	40.0432	21.70156231	80.0864	10.85078116	0	Mees	60	toid	7	jh	Ei		ei	Tava	pole kunagi kasutanud	Hea	3	2
Astrid 33	227.3056338	710	277021	277.021	9.234033333	173.0554723	13.85105	51.2596518	27.7021	25.6298259	55.4042	12.81491295	0	Naine	33	pulmatordi jaoks asjade ostmine	8	jah	Ei		praegu mitte	Tava	unustas puldi võtta	Halb	5	1
BERIT 20	252.6918605	344	139811	139.811	4.660366667	142.2634843	6.99055	49.20928968	13.9811	24.60464484	27.9622	12.30232242	0	Naine	20	söök	5	ei	Ei		ei	Tava	selveris käib iseteeninduses, siin tavakassa	Väga hea	5	4
bert28	226.6748936	1175	504717	504.717	16.8239	146.398873	25.23585	46.56074592	50.4717	23.28037296	100.9434	11.64018648	2	Mees	28	süüq	8	ei	Ei		soodus	Pult	harjunud j akiirem	Väga hea	4	2
brita 23	275.2776471	425	234779	234.779	7.825966667	192.5640709	11.73895	36.20426018	23.4779	18.10213009	46.9558	9.051065044	0	Naine	23	süüa osta	5	jah, energiajook	Ei		ei	Iseteenindus	unustas puldi võtta	Hea	3	2
diana 20	251.0776119	1340	560266	560.266	18.67553333	136.4887393	28.0133	47.83442151	56.0266	23.91721075	112.0532	11.95860538	2	Naine	20	lõunasöök	1	see salat polnudki planeeritud	Ei		soodushind	Iseteenindus	kiirem	Väga hea	4	2
ENN 69	215.2048872	532	449253	449.253	14.9751	201.3342148	22.46265	23.68375949	44.9253	11.84187974	89.8506	5.920939871	2	Mees	69	paari asja osta	8	ei	Ei		ei	Iseteenindus	harjumus, kui on väike summa, siis saab rutem	Hea	5	4
enn 73	297.1570078	2433	1042346	1042.346	34.74486667	114.6932017	52.1173	46.68315511	104.2346	23.34157756	208.4692	11.67078878	1	Mees	73	toidukaubad	10	ei	Ei		jah, ajalehes oli reklaam	Tava	harjumus	Väga hea	5	2
