Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
22tina	262.9430052	1158	501968	501.968	16.73226667	172.1225257	25.0984	46.13839926	50.1968	23.06919963	100.3936	11.53459982
Alan32	256.3112813	1436	612210	612.21	20.407	180.2322732	30.6105	46.91200732	61.221	23.45600366	122.442	11.72800183
ALAN 37	243.234104	1038	363575	363.575	12.11916667	174.8470054	18.17875	57.09963556	36.3575	28.54981778	72.715	14.27490889
Aleks46	274.9761905	336	145901	145.901	4.863366667	166.9625294	7.29505	46.0586288	14.5901	23.0293144	29.1802	11.5146572
alexa44	291.7751678	1192	484885	484.885	16.16283333	117.4917764	24.24425	49.16629716	48.4885	24.58314858	96.977	12.29157429
Allan 24	283.7857143	560	231297	231.297	7.7099	131.0004021	11.56485	48.42259087	23.1297	24.21129543	46.2594	12.10564772
alma37	223.9312602	611	322875	322.875	10.7625	107.1312427	16.14375	37.84746419	32.2875	18.92373209	64.575	9.461866047
Alo 26	319.1292719	1346	630752	630.752	21.02506667	131.6048146	31.5376	42.67921465	63.0752	21.33960733	126.1504	10.66980366
AndrA20	120	64	78830	78.83	2.627666667	394.6467081	3.9415	16.23747304	7.883	8.118736522	15.766	4.059368261
andre 16	253.296875	192	174751	174.751	5.825033333	225.2347626	8.73755	21.97412318	17.4751	10.98706159	34.9502	5.493530795
andre 28	232.5462185	1071	489861	489.861	16.3287	122.1162738	24.49305	43.72668982	48.9861	21.86334491	97.9722	10.93167245
andre42	237.2173684	1900	830548	830.548	27.68493333	139.2092931	41.5274	45.75292458	83.0548	22.87646229	166.1096	11.43823114
andre44	229.7372061	723	304228	304.228	10.14093333	139.237677	15.2114	47.53014187	30.4228	23.76507093	60.8456	11.88253547
ANDRUS 25	253.116129	620	262723	262.723	8.757433333	129.94675	13.13615	47.19799941	26.2723	23.59899971	52.5446	11.79949985
anito39	220.1557847	873	321351	321.351	10.7117	193.7134162	16.06755	54.33311239	32.1351	27.1665562	64.2702	13.5832781
anna12	270.2031524	571	278172	278.172	9.2724	138.7990164	13.9086	41.05373654	27.8172	20.52686827	55.6344	10.26343413
anneli28	293.8073939	2191	1151780	1151.78	38.39266667	123.9559638	57.589	38.04546007	115.178	19.02273004	230.356	9.511365018
anni30	268.877338	2299	864356	864.356	28.81186667	139.4911356	43.2178	53.195674	86.4356	26.597837	172.8712	13.2989185
anti36	345.6362126	1204	635561	635.561	21.18536667	84.82269995	31.77805	37.88778732	63.5561	18.94389366	127.1122	9.471946831
arvi70	331.5641234	1232	587089	587.089	19.56963333	147.9332776	29.35445	41.96978652	58.7089	20.98489326	117.4178	10.49244663
arvo60	343.7065593	869	400432	400.432	13.34773333	87.80517042	20.0216	43.40312463	40.0432	21.70156231	80.0864	10.85078116
Astrid 33	227.3056338	710	277021	277.021	9.234033333	173.0554723	13.85105	51.2596518	27.7021	25.6298259	55.4042	12.81491295
BERIT 20	252.6918605	344	139811	139.811	4.660366667	142.2634843	6.99055	49.20928968	13.9811	24.60464484	27.9622	12.30232242
bert28	226.6748936	1175	504717	504.717	16.8239	146.398873	25.23585	46.56074592	50.4717	23.28037296	100.9434	11.64018648
brita 23	275.2776471	425	234779	234.779	7.825966667	192.5640709	11.73895	36.20426018	23.4779	18.10213009	46.9558	9.051065044
diana 20	251.0776119	1340	560266	560.266	18.67553333	136.4887393	28.0133	47.83442151	56.0266	23.91721075	112.0532	11.95860538
ENN 69	215.2048872	532	449253	449.253	14.9751	201.3342148	22.46265	23.68375949	44.9253	11.84187974	89.8506	5.920939871
enn 73	297.1570078	2433	1042346	1042.346	34.74486667	114.6932017	52.1173	46.68315511	104.2346	23.34157756	208.4692	11.67078878
evert 27	230.0578947	190	156334	156.334	5.211133333	213.9649724	7.8167	24.30693259	15.6334	12.1534663	31.2668	6.076733148
Hanna 36	324.8586103	1655	713386	713.386	23.77953333	115.0569257	35.6693	46.39844348	71.3386	23.19922174	142.6772	11.59961087
Heli62	168.6511628	215	197319	197.319	6.5773	479.3760358	9.86595	21.79212341	19.7319	10.89606171	39.4638	5.448030854
ille 55	196.4408602	93	51454	51.454	1.715133333	106.1141991	2.5727	36.1487931	5.1454	18.07439655	10.2908	9.037198274
ivar 26	220.1796733	551	219665	219.665	7.322166667	164.4322036	10.98325	50.16730021	21.9665	25.0836501	43.933	12.54182505
JAAN 49	253.1230032	626	223270	223.27	7.442333333	137.0537914	11.1635	56.07560353	22.327	28.03780176	44.654	14.01890088
JAANA 48	222.5271565	1252	422489	422.489	14.08296667	162.6787916	21.12445	59.26781526	42.2489	29.63390763	84.4978	14.81695381
jaana55	354.4389499	1638	795240	795.24	26.508	87.82254414	39.762	41.19511091	79.524	20.59755545	159.048	10.29877773
JAANIKA 28	295.754386	228	84210	84.21	2.807	113.2882081	4.2105	54.15033844	8.421	27.07516922	16.842	13.53758461
jan50	206.2907801	141	184041	184.041	6.1347	157.6279199	9.20205	15.32267267	18.4041	7.661336333	36.8082	3.830668166
JANAR 52	321.7312953	1243	544145	544.145	18.13816667	126.142848	27.20725	45.68635198	54.4145	22.84317599	108.829	11.421588
kadi 37	249.0386812	3852	1472351	1472.351	49.07836667	185.5399969	73.61755	52.32447969	147.2351	26.16223985	294.4702	13.08111992
kadi 38	263.6981132	1113	400607	400.607	13.35356667	147.9754473	20.03035	55.56567908	40.0607	27.78283954	80.1214	13.89141977
kadri31	202.6657895	760	399721	399.721	13.32403333	205.0430175	19.98605	38.0265235	39.9721	19.01326175	79.9442	9.506630875
kaili33	244.9970501	1356	565690	565.69	18.85633333	128.9222012	28.2845	47.94145203	56.569	23.97072602	113.138	11.98536301
kair14	272.6312057	282	148896	148.896	4.9632	112.0245003	7.4448	37.87878788	14.8896	18.93939394	29.7792	9.46969697
kaisa 38	292.5365854	164	102815	102.815	3.427166667	60.39974712	5.14075	31.90195983	10.2815	15.95097992	20.563	7.975489958
kaisa 56	224.279646	565	191500	191.5	6.383333333	189.8694517	9.575	59.0078329	19.15	29.50391645	38.3	14.75195822
Kalle 21	355.8624702	3781	780517	780.517	26.01723333	136.0252243	39.02585	96.88450091	78.0517	48.44225046	156.1034	24.22112523
